instance_id,instance_type,role,az,t_request,t_running,t_ssh,t_setup_done,t_executor_listening,outcome
i-0b639401206ec7986,g4dn.xlarge,worker,eu-north-1b,1778098179.0927045,1778098194.5170288,1778098230.5304801,1778098518.897542,1778098519.0561075,ok
i-061882b7803842104,g4dn.xlarge,worker,eu-north-1b,1778098179.0927079,1778098194.557503,1778098230.5308628,1778098524.0601587,1778098524.1608007,ok
i-0477bb9c3c6e3c903,g4dn.xlarge,worker,eu-north-1b,1778098555.3663688,1778098570.712478,1778098590.4661205,1778098860.3701792,1778098860.4910767,ok
