,Timestamp,On-prem,Cloud,Cloud_Capacity
0,1772989017.8105814,4,4,4
1,1772990217.883188,0,0,4
2,1772991417.9833143,1,0,4
3,1772992618.0433633,4,2,4
4,1772993818.139152,4,4,4
5,1772995018.203176,4,4,4
6,1772996218.2588725,4,4,4
