wf_id,iter_idx,attempt,t_iteration_started
hpo-60bf3eb4,0,1,1778410559.16407
hpo-b03a4442,0,1,1778411195.5306234
hpo-a87b8123,0,1,1778411521.037916
hpo-60bf3eb4,1,1,1778411655.4761498
hpo-a87b8123,1,1,1778412185.6548657
hpo-b03a4442,1,1,1778412345.759333
