wf_id,iter_idx,request_type,requested_count,t_engine_request_sent,t_engine_reply_received,outcome,granted_count,t_scheduler_request_observed,t_scheduler_reply_sent,t_iteration_started,request_handoff_s,decision_s,reply_handoff_s,wait_loop_plus_reconfig_s
hpo-60bf3eb4,1,grow,2,1778414061.5513592,1778414331.8366988,granted,,1778414330.3496118,,1778414331.9467113,268.79825258255005,,,0.11001253128051758
hpo-a87b8123,0,grow,2,1778414330.411594,1778414360.4577832,granted,0.0,1778414360.418798,1778414360.4566412,1778414360.6536837,30.007204055786133,0.03784322738647461,0.0011420249938964844,0.19590044021606445
hpo-417bb2bd,1,grow,2,1778415077.5775225,1778415317.8230689,granted,,1778415315.0086606,,1778415317.8590715,237.43113803863525,,,0.03600263595581055
hpo-a87b8123,1,grow,3,1778415010.688012,,timed_out,,1778415315.0086606,,1778415761.5572324,304.32064867019653,,,
hpo-60bf3eb4,2,grow,3,1778415214.4721897,,timed_out,,1778415315.0086606,,1778415965.3464758,100.53647089004517,,,
hpo-417bb2bd,2,grow,3,1778416436.1093853,1778416456.1408286,granted,0.0,1778416454.1905868,1778416454.2366152,1778416456.1701505,18.081201553344727,0.04602837562561035,1.9042134284973145,0.029321908950805664
hpo-a87b8123,2,grow,3,1778416652.0971532,1778416712.169771,granted,0.0,1778416711.5908906,1778416711.6377485,1778416712.275627,59.49373745918274,0.04685783386230469,0.5320224761962891,0.10585594177246094
