,instances,budget,deadline,sched_start_time,submit_time,model,exec_start_time,finish_time,complete,cost
hpo-5cf32563,"{<resource_manager.instance.OnPremInstance object at 0x7b2f46926ce0>: [(2, 1772989438.1084003, None), (2, 1772989468.1316175, None), (1, None, 1772991169.3802953)]}",12.26,1772992470.3579965,1772989438.1084003,1772989414.3579965,vgg19,1772989438.1214983,1772992157.260061,True,2.2933587699333824
hpo-23bd6b42,"{<resource_manager.instance.CloudReservedInstance object at 0x7b2f46925ff0>: [(2, 1772989798.4332933, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x7b2f46925f90>: [(2, 1772990164.258937, None), (2, None, 1772990539.1025183)]}",11.03,1772992864.685426,1772989798.4332933,1772989775.685426,vgg19,1772989798.4448457,1772991969.0525408,True,0.3833953348830958
hpo-a82342ac,"{<resource_manager.instance.CloudReservedInstance object at 0x7b2f46925f60>: [(1, 1772990164.2605088, None), (1, 1772990194.3093548, None), (1, None, 1772991478.6439254), (1, 1772992476.2067475, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x7b2f46926d10>: [(1, 1772992476.2067475, None)]}",15.43,1772993738.802219,1772990164.2605088,1772989933.802219,convnext_large,1772990164.271401,1772993063.5972817,True,0.7407710645808554
hpo-375a9a34,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7b2f46925f90>: [(1, 1772990509.048834, None)]}",12.33,1772993444.446478,1772990509.048834,1772990043.446478,convnext_large,1772990509.0663807,1772994425.8050802,True,0.5723727804490912
hpo-e10d65ba,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7b2f46925f90>: [(1, 1772991139.3252492, None), (1, 1772991478.6358256, None)]}",12.51,1772993680.8336039,1772991139.3252492,1772990063.8336039,wide_resnet101_2,1772991139.3410742,1772996205.9330451,True,1.4312263242713272
