accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/epoch,config/learning_rate,config/momentum,config/hidden,config/batch_size,config/image_size,config/data_dir,config/amp,config/train_backbone,config/num_workers,logdir,phase,workers_per_trial
0.0,1764351244,,False,1,050d6_00000,2025-11-28_17-34-04,173.67197966575623,173.67197966575623,721352,ip-172-31-45-35,172.31.45.35,173.67197966575623,1,3,0.030430347913228684,0.9758130260820442,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00000,1,1
0.0,1764351242,,False,1,050d6_00001,2025-11-28_17-34-02,171.60815596580505,171.60815596580505,125214,ip-172-31-44-148,172.31.44.148,171.60815596580505,1,3,0.0011574002879392597,0.9532257274487159,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00001,1,1
0.0,1764351418,,False,1,050d6_00002,2025-11-28_17-36-58,170.85148787498474,170.85148787498474,125855,ip-172-31-44-148,172.31.44.148,170.85148787498474,1,3,0.014506026947402247,0.9492447930465537,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00002,1,1
0.0,1764351422,,False,1,050d6_00003,2025-11-28_17-37-02,172.8834207057953,172.8834207057953,723208,ip-172-31-45-35,172.31.45.35,172.8834207057953,1,3,0.00745232695165663,0.8497678528073924,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00003,1,1
0.0,1764351598,,False,1,050d6_00004,2025-11-28_17-39-58,175.0834128856659,175.0834128856659,126540,ip-172-31-44-148,172.31.44.148,175.0834128856659,1,3,0.002097242572256437,0.9818884532798762,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00004,1,1
0.0,1764351548,,False,1,050d6_00005,2025-11-28_17-39-08,121.0625274181366,121.0625274181366,725173,ip-172-31-45-35,172.31.45.35,121.0625274181366,1,2,0.0039435127325449905,0.8376144732130006,10,64,160,/home/ubuntu/cifar10,True,False,1,050d6_00005,1,1
