,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 9033.000000000002, None)]}",46.55013787044631,23196.16089726238,9033.000000000002,9009.283037582998,9033.000000000002,13184.155000000002,True,8.41854234
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 9063.200000000003, None)]}",56.56222725445129,23244.28182191842,9063.200000000003,9023.892719534999,9063.200000000003,12545.664000000002,True,5.6499495936
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 9093.200000000003, None)]}",295.24467469152273,136610.6073179773,9093.200000000003,9036.671369447999,9093.200000000003,23922.761000000006,True,18.044609824800006
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 9123.200000000003, None)]}",57.77199384513077,23215.524442320464,9123.200000000003,9038.682233615998,9123.200000000003,10293.430000000004,True,1.4239358640000017
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 9153.200000000003, None)]}",291.443531643958,136978.71072632307,9153.200000000003,9039.682233615998,9153.200000000003,35903.176999999996,True,54.24895335599998
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 9183.200000000003, None)]}",76.07511246679637,23186.04667376415,9183.200000000003,9049.135290933998,9183.200000000003,11897.169000000004,True,4.403143305600001
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 9213.200000000003, None)]}",82.04480128359563,40217.76639460821,9213.200000000003,9054.950130882999,9213.200000000003,18722.646000000004,True,15.428125190400003
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 9633.800000000005, None)]}",290.8535591080783,137638.0285015715,9633.800000000005,9603.882960363999,9633.800000000005,18570.662000000008,True,14.499164908800005
lamf-test-794e981d-7b48-479b-88a9-08c76168b3f4,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 9664.000000000005, None)]}",55.43753343799916,23785.839309158877,9664.000000000005,9608.099292531999,9664.000000000005,13882.055000000006,True,3.4216862160000003
lamf-test-d89dd74a-ca32-43e3-9fdb-057b16e15c3a,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 9694.000000000005, None)]}",52.589033620058174,23817.00392709601,9694.000000000005,9609.099292531999,9694.000000000005,15074.585000000006,True,4.364730552000001
lamf-test-9d73df9e-a4e9-43ed-b3cd-731892da568c,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 9724.200000000006, None)]}",116.24356079750007,40729.43748691483,9724.200000000006,9613.586708095998,9724.200000000006,12910.182000000008,True,7.753405795200005
lamf-test-700b88cb-1fe1-443f-85f3-4e83586778d7,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 9754.200000000006, None)]}",323.88597973304996,136897.87528378368,9754.200000000006,9620.112664828997,9754.200000000006,23340.643000000007,True,11.0213225616
lamf-test-cacf2328-5a7f-4177-ad3a-d6767db7f233,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 9784.400000000007, None)]}",299.34289693362723,137555.64257774653,9784.400000000007,9631.152117646998,9784.400000000007,26502.497000000007,True,33.904300716
lamf-test-76901c5b-cc70-4a21-8b6a-aa4aa3dedd24,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 9814.400000000007, None)]}",295.82083300729096,136940.92074665966,9814.400000000007,9637.161558391997,9814.400000000007,17270.635000000006,True,6.048497831999999
lamf-test-c0570041-d32e-4e8b-8d2d-a250dfe399fc,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 9844.600000000008, None)]}",309.1917473885502,137473.59947053407,9844.600000000008,9641.619659515998,9844.600000000008,40668.549000000006,True,62.510968571999996
lamf-test-ca7252f0-85f2-4005-896c-fb17b2f26952,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 9874.800000000008, None)]}",304.02222934164064,137639.28698516072,9874.800000000008,9642.632872321998,9874.800000000008,32752.914000000015,True,55.676178230400026
lamf-test-0ae28a41-e363-4bde-bdce-50f826df3b42,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 9904.800000000008, None)]}",87.69850691765791,40922.69911222523,9904.800000000008,9644.906719795998,9904.800000000008,17037.89989211997,True,11.572741264975427
lamf-test-9da27dae-e6dc-4f47-b706-a6e8a3713464,"{<resource_manager.instance.CloudReservedInstance object at 0x129d54170>: [(6, 9935.00000000001, None)]}",296.9549680882063,137419.33792638572,9935.00000000001,9654.686705116997,9935.00000000001,17057.073970129957,True,46.68092162981973
lamf-test-50c28631-c9b3-47d9-9e36-b5f64438ea4d,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 9965.20000000001, None)]}",57.792712238435485,23548.27594661933,9965.20000000001,9657.535222261997,9965.20000000001,14460.06800000001,True,10.938710764800001
lamf-test-6ea3ccb6-5ec7-474a-bd76-4c0b7e74a8fd,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d590>: [(4, 10206.200000000013, None)]}",318.43627200467716,137695.21026288916,10206.200000000013,10199.468097529996,10206.200000000013,53692.150187428815,True,58.305962011304544
lamf-test-f6a7b87b-3fe2-4927-871e-a0cac1bfa236,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 10236.200000000013, None)]}",80.84812600328213,41507.60286321175,10236.200000000013,10201.492676545997,10236.200000000013,18565.900000000012,True,10.13557896
lamf-test-01aed4d0-4ac3-4934-b29d-300b9eb1cf38,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d590>: [(2, 10266.200000000013, None)], <resource_manager.instance.CloudReservedInstance object at 0x129d4d310>: [(4, 10266.200000000013, None)]}",48.38806555130056,24574.060966425066,10266.200000000013,10210.469735599996,10266.200000000013,12031.31732250174,True,4.030115870735942
lamf-test-f035cec5-13b9-4feb-9d16-93fce26c2cc2,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d310>: [(2, 10296.200000000013, None)], <resource_manager.instance.CloudReservedInstance object at 0x129b4e3f0>: [(1, 10296.200000000013, None)]}",59.50673849065216,24423.24927276479,10296.200000000013,10216.239940495996,10296.200000000013,18432.27596750962,True,11.335181037934383
lamf-test-7dc86417-03bf-4f7d-b2cc-4f303d7c708b,"{<resource_manager.instance.CloudReservedInstance object at 0x129b4e3f0>: [(4, 10326.400000000014, None)]}",122.20824587768153,41556.943171013416,10326.400000000014,10218.285299455996,10326.400000000014,18083.620467196663,True,18.20774788060397
lamf-test-6e11c3c3-b9bf-4aa2-897f-6c03a891a9cd,"{<resource_manager.instance.CloudReservedInstance object at 0x129b4e3f0>: [(1, 10356.400000000014, None)], <resource_manager.instance.CloudReservedInstance object at 0x129b3be00>: [(4, 10356.400000000014, None)]}",323.10613238146993,137855.97637632344,10356.400000000014,10221.382617178997,10356.400000000014,50196.02507923216,True,138.49847262544262
lamf-test-c5a6ffed-1196-4516-a2cc-67f21c8eb5f5,"{<resource_manager.instance.CloudReservedInstance object at 0x129b3be00>: [(2, 10386.400000000014, None)]}",321.906162634098,137931.09748950283,10386.400000000014,10231.746578644997,10386.400000000014,39264.01712167279,True,41.72238121739282
lamf-test-6718dd63-82fd-49d3-b154-c2385c7724e4,"{<resource_manager.instance.CloudReservedInstance object at 0x129b4e650>: [(1, 10416.400000000014, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x129b4e8b0>: [(3, 10416.400000000014, None)]}",53.92864783453742,24337.720642614295,10416.400000000014,10234.961500852998,10416.400000000014,24353.120642614296,False,
lamf-test-93fc33e5-0604-48d1-8efe-1dfc9145e379,"{<resource_manager.instance.CloudOnDemandInstance object at 0x129b4e8b0>: [(5, 10446.400000000014, None)]}",318.63019504491797,137957.48734472503,10446.400000000014,10242.256301482998,10846.936000000014,49934.39283571471,True,440.25163212538314
lamf-test-561c40aa-4fd2-4142-aa20-b41c53e185e4,"{<resource_manager.instance.CloudOnDemandInstance object at 0x129b4e8b0>: [(2, 10878.136000000019, None)]}",92.22367706149063,41533.92108508212,10878.136000000019,10256.665891135997,11278.672000000019,25386.186041849873,True,64.70009996663362
lamf-test-d81c27cf-4838-43c5-ac8d-f0f7d5a86a71,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 11310.472000000025, None)]}",313.16578296695053,138514.15842221965,11310.472000000025,10803.057790372997,11310.472000000025,36069.61300000002,True,40.16923035839999
lamf-test-92b10550-cff6-47f7-a077-4b4db1587046,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 11340.472000000025, None)]}",81.64667311738593,41956.3372739227,11340.472000000025,10824.202667614998,11340.472000000025,16982.524000000027,True,9.153665164800003
lamf-test-29b14cf4-c2e0-462e-a5b2-16a34ab23f1f,"{<resource_manager.instance.CloudOnDemandInstance object at 0x129d4d950>: [(2, 11370.872000000027, None)]}",89.42960233211319,41905.612969018955,11370.872000000027,10825.202667614998,11771.408000000027,41921.01296901895,False,
lamf-test-0ee3ab93-6383-46f5-aeca-265dafdbd84c,"{<resource_manager.instance.CloudOnDemandInstance object at 0x129d4d950>: [(5, 11802.608000000031, None)]}",39.66592451958817,24969.091404650237,11802.608000000031,10840.186742168999,12203.144000000031,22032.391439072246,False,
lamf-test-3484ce7d-9fee-4f95-9c2d-f871cc58413f,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 12234.144000000035, None)]}",280.48808000057255,138572.48062364914,12234.144000000035,10842.777179510998,12234.144000000035,35394.958000000035,True,28.1820784752
lamf-test-0ab21652-7e84-40ef-afc1-d04cb7c18425,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d590>: [(2, 12264.344000000036, None)]}",99.9394489602227,42117.03799573351,12264.344000000036,10848.371677568999,12264.344000000036,25286.79182261104,True,8.73024902027842
lamf-test-107c896d-ee0f-4ca2-89f1-19c67b8002a2,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 12294.544000000036, None)]}",98.1671155759394,42646.14800099523,12294.544000000036,11418.518719247999,12294.544000000036,15215.770000000039,True,2.369698531200002
lamf-test-34f82a8b-288c-437f-910d-553d4a2c7dfc,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 12324.544000000036, None)]}",332.1651620956545,139214.97124297204,12324.544000000036,11420.595233189999,12324.544000000036,21779.315000000035,True,7.669710235199999
lamf-test-aa879c60-c521-40a2-972a-cf0714098824,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d310>: [(2, 12354.544000000036, None)]}",56.99333448866139,25644.417323023918,12354.544000000036,11427.043145288999,12354.544000000036,21401.729964708746,True,7.295650761941104
lamf-test-cfb32c98-2421-4b31-9da7-090b5212bb9a,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 12384.544000000036, None)]}",311.65623815536327,138940.69082558935,12384.544000000036,11430.725556336,12384.544000000036,25742.833693719916,True,32.508733798636705
lamf-test-2e0bd3ff-93cb-46df-ab43-ee2f13d4c7e1,"{<resource_manager.instance.CloudReservedInstance object at 0x129d4d310>: [(2, 12414.544000000036, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x129d4d950>: [(1, 12414.544000000036, None)]}",316.2487464140096,139138.90621602497,12414.544000000036,11435.630181999,12414.544000000036,83183.73542409086,True,108.0787091428715
lamf-test-75f66efa-1a77-47ea-a0c6-c0317f11e7c2,"{<resource_manager.instance.CloudOnDemandInstance object at 0x129d4d950>: [(3, 12444.544000000036, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x129d4d450>: [(2, 12444.544000000036, None)]}",323.850834844211,139504.40497580814,12444.544000000036,11449.072741737,12845.080000000036,108271.11133154052,False,
lamf-test-c1ff5343-c068-4179-8505-1de35f1c5237,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 12875.480000000038, None)]}",328.6266875432299,139124.8236571085,12875.480000000038,11450.072741737,12875.480000000038,37912.130000000034,True,40.61946095999999
lamf-test-c8383b87-eaaf-4727-8a38-364a265a9c1b,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 12905.480000000038, None)]}",87.74670802746411,42468.201229078295,12905.480000000038,11453.055074146,12905.480000000038,19659.256000000038,True,5.4786630912
