,Timestamp,On-prem,Cloud,Cloud_Capacity
0,1772997827.3850496,4,4,4
1,1772999027.440969,0,2,4
2,1773000227.541088,4,2,4
3,1773001427.6111448,4,2,4
4,1773002627.6751816,4,4,4
5,1773003827.739166,4,4,4
