,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-e4ed1a21-f292-441c-946a-d7b9f0990c7d,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 15594.288, 20076.432), (2, 20076.432, None), (0, 29018.04, None), (2, 34998.576, None)]}",297.2172710903451,140809.9534254412,15594.288,13210.588103092503,15594.288,45913.237,True,33.448704432
lamf-test-c777b76c-0cc3-4d24-b87d-dcc762dd2026,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 15624.288, 18126.432), (1, 18126.432, None), (2, 25576.968, None), (1, 33528.576, None), (-2, 37998.576, None)]}",310.2741421688458,141368.88688577115,15624.288,13214.955549478504,15624.288,43462.191999999995,True,26.411406527999993
lamf-test-38f0df60-c850-46c3-8ecc-b21d5524ac44,"{<resource_manager.instance.CloudOnDemandInstance object at 0x1140828b0>: [(1, 15654.288, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x114082520>: [(5, 15654.288, None)]}",82.2505270696069,44488.08470750751,15654.288,13216.054912573503,16054.824,44503.48470750751,False,
lamf-test-ecaffeb0-92d2-4398-a844-9e4844c48df5,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 16084.824, 16605.36), (1, 16605.36, None), (1, 18216.432, None), (1, 21066.432, None)]}",106.56838267415606,44378.913337332335,16084.824,13217.824781809504,16084.824,22183.688000000002,True,4.958236108800001
lamf-test-3c60492c-5568-42f7-a13b-d4f3117a23dc,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 16114.824, 21576.432), (1, 21576.432, None)]}",288.51703100665657,140969.38126481234,16114.824,13226.620350103503,16114.824,25556.895,True,14.905845021600001
lamf-test-04f3f31f-b20f-4cb7-a3dd-c0c2f380b4cc,"{<resource_manager.instance.CloudReservedInstance object at 0x11426c3b0>: [(4, 16144.824, None), (-1, 19236.432, None), (-1, 21696.432, None)], <resource_manager.instance.CloudReservedInstance object at 0x11406be00>: [(1, 20826.432, None)]}",63.69847192731158,27326.415365325065,16144.824,13227.620350103503,16144.824,22286.97117917614,True,23.91630581850087
lamf-test-b6b347a8-b100-462f-bbd1-cdcde8345e59,"{<resource_manager.instance.CloudOnDemandInstance object at 0x1140828b0>: [(1, 16174.824, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x114082520>: [(2, 16174.824, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x11406bb60>: [(1, 16174.824, 39318.576)]}",310.4633474601291,141031.6382584378,16174.824,13240.944319007504,16575.36,39327.47670441582,False,
lamf-test-d4113937-9912-4267-ad39-f41249bcbcef,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 16605.36, None), (2, 18546.432, None), (-1, 19476.432, None), (2, 20196.432, None), (-2, 20916.432, None)]}",44.164232744169574,27574.012177900084,16605.36,13252.374472475503,16605.36,21502.78,True,6.133153852799998
lamf-test-198ba68c-5a75-4dd3-95a5-23cb4a91c31d,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 16635.36, 17916.432), (1, 17916.432, None)]}",75.79076386942039,44426.55559987714,16635.36,13257.902266031504,16635.36,23820.791999999998,True,4.992822431999999
lamf-test-9bb4d80d-2aee-48e9-ac53-5a922312b6c8,"{<resource_manager.instance.CloudOnDemandInstance object at 0x11406bb60>: [(6, 16665.36, None)], <resource_manager.instance.CloudReservedInstance object at 0x11426c3b0>: [(-4, 22266.432, None)]}",62.348183689222225,28001.257243575732,16665.36,13804.622874686504,17065.896,28016.657243575733,False,
lamf-test-8fdaa8c6-0ab8-4102-bf2c-7c6a5957696b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 17095.896, 21576.432), (2, 21576.432, None), (1, 33228.576, None)]}",305.80076715201267,141200.9903035454,17095.896,13805.622874686504,17095.896,34731.710999999996,True,16.733150085599995
lamf-test-c89d3402-a23f-46ae-8720-cd373edbf82e,"{<resource_manager.instance.CloudOnDemandInstance object at 0x11406bb60>: [(3, 17125.896, 22416.432), (2, 22416.432, None)]}",59.063695813800784,28036.24294629405,17125.896,13807.358562846504,17526.432,22428.459691323736,False,
lamf-test-d457b8b2-16f3-450b-ba2f-e7b966006e63,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 17916.432, None), (-5, 23386.968, None), (1, 35298.576, None)]}",308.6020686022321,141427.61919895958,17916.432,13821.748130718504,17916.432,41759.96399999999,True,23.385922559999997
lamf-test-87f7683b-4f57-45f2-93ec-cd6117faec52,"{<resource_manager.instance.CloudReservedInstance object at 0x11406be00>: [(2, 17946.432, 18306.432), (2, 18306.432, None)]}",62.86965238334432,27887.15230827981,17946.432,13823.677644894504,17946.432,20052.44591411447,True,3.042768903112584
lamf-test-95f36198-5f8e-46dc-93db-fc5d6a810881,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 18006.432, 24976.968), (2, 24976.968, None), (2, 29948.04, None), (1, 34428.576, None)]}",312.84764381313755,141624.47260865328,18006.432,13833.481128507503,18006.432,35930.155999999995,True,22.828707657599992
lamf-test-067d037c-dcca-41c3-b8b9-a8b36009d0a4,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 19086.432, None), (1, 20346.432, None), (0, 20706.432, None)]}",61.80548621708826,28123.595657475773,19086.432,13834.481128507503,19086.432,23228.874,True,7.889816375999998
lamf-test-55d518fc-620c-44fe-a18a-2336d48b9fc1,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 19206.432, None), (1, 21606.432, None), (-1, 22566.432, None), (-1, 23536.968, None), (0, 24346.968, None)]}",83.99778340603386,45209.26126180842,19206.432,13843.989143116503,19206.432,26727.098,True,8.246605660800002
